nombre_exoplaneta	estado_exoplaneta	masa_exoplaneta_m_tierra	radio_exoplaneta_r_tierra	periodo_orbital_dias	semi_eje_mayor_ua	excentricidad_orbital	temperatura_media_k	insolacion	nombre_estrella	tipo_espectral	parecido_tierra
LP 890-9 C	Confirmed	0.005965021576058355	0.007861358030011582	4.118156535844838e-08	0.03984	0.0927392356558472	0.020995705423890565	8.193998986231088e-05	LP 890-9	M6 V	0.01609190115164129
TOI-2136 B	Confirmed	0.046380642526300114	0.018251475506385065	3.8168994159767196e-08	1.2158240107926228	0.0581848089139618	0.05815810402417687	0.000571636220530779	TOI-2136	M4.5 V	0.02099332721649478
TOI-2088 B	Confirmed	0.09442043833268793	0.036996774492635526	6.196339348774631e-07	2.585498021585246	0.0463696178279236	0.02878797518689359	0.024612173128002922	TOI-2088	Unknown	0.021664702588811962
TOI-2093 C	Confirmed	0.09179354889744826	0.019554864509102588	2.6681509986561956e-07	2.477998021585245	0.0463696178279236	0.04047399395578177	0.024702151620171035	TOI-2093	K5 V	0.02263392190296203
K2-285 E	Confirmed	0.002346853108652788	0.015474600108909841	7.25508963470321e-08	0.18041	0.0	0.09381262923492922	0.0013791879481775098	K2-285	K2 V	0.025450780012724696
HD 224018 D	Confirmed	0.0007360246813831871	0.021351030530014848	6.860158990759144e-07	0.53	0.08	0.0652139335135995	0.0490304756991336	HD 224018	G V	0.026141012265212565
TOI-260 B	Confirmed	0.060410936697834164	0.012501579540968075	6.614785006184941e-08	1.6280986810568303	0.030913078551949	0.08156513440432639	0.03313246150668374	TOI-260	Unknown	0.02733655865759234
TOI-1260 D	Confirmed	0.09130286577652613	0.03540166374803956	1.643579342228776e-07	2.4052980215852457	0.0463696178279236	0.0652330205185303	0.0008313055357639941	TOI-1260	Unknown	0.02855913065671721
HD 110067 G	Confirmed	0.001776867665157391	0.02405418852372315	2.7158480252661346e-07	0.2621	0.0927392356558472	0.07443931923015748	0.0490304756991336	HD 110067	K0.0 V	0.030942061343469995
LP 890-9 B	Confirmed	0.09147138321199434	0.007452362586203971	1.2687110713773289e-08	2.3588730215852456	0.0927392356558472	0.055064418641641494	0.0005109080060969335	LP 890-9	M6 V	0.0314642813633086
K2-415 B	Confirmed	0.09076509690157614	0.0038311871303562013	1.909523092586262e-08	2.3629980215852457	0.0927392356558472	0.059616669317639565	0.0005992706849336005	K2-415	M5 V	0.03243273412655473
TOI-1231 B	Confirmed	0.09174398494583998	0.039166852753629994	1.1972683363438996e-07	2.4138980215852457	0.1333696178279236	0.006333704469540333	9.348054784044326e-05	TOI-1231	Unknown	0.032637009259949834
TOI-1468 C	Confirmed	0.06067610383893854	0.017013685074693783	7.637951555453683e-08	3.161357362113661	0.1358261571038982	0.038817666083452634	0.00024879018154068747	TOI-1468	Unknown	0.03315431190112374
TOI-2322 C	Confirmed	0.09207854161919596	0.014710826931288855	9.972729141567365e-08	2.417598021585245	0.0463696178279236	0.0863416573882615	0.0013488728562185493	TOI-2322	Unknown	0.03374530615856489
HD 110067 F	Confirmed	0.0009441932781380279	0.023975836118108416	2.0337105308026395e-07	0.2163	0.0927392356558472	0.09002703992365199	0.0490304756991336	HD 110067	K0.0 V	0.03553314712321534
TRAPPIST-1 G	Confirmed	0.04500146361785977	0.018894702424431423	1.522870014756709e-05	0.04640555	0.0779096178279236	0.10589545725941865	0.012252954024370447	TRAPPIST-1	Unknown	0.03777688086477281
TRAPPIST-1 H	Confirmed	0.10789645454738957	0.012154041007308217	1.2221833048841887e-05	0.9895373046340982	0.0764593885246778	0.07904116300810748	0.009789436712844811	TRAPPIST-1	Unknown	0.03848604959396063
TOI-178 F	Confirmed	0.06089170702843462	0.02188938403256326	7.488710944363652e-08	3.1672973621136613	0.062126157103898	0.10688136787974814	0.0327008252575559	TOI-178	K	0.03860857381131702
GJ 3929 B	Confirmed	0.06003342459975097	0.0045369818566298944	1.2121746943885023e-08	1.583295347723497	0.061826157103898	0.11155612109644239	0.0023890600124541533	GJ 3929	Unknown	0.03868840472977883
TOI-2345 C	Confirmed	0.09073659762940137	0.021295355857038196	1.5629838135741042e-07	2.4123480215852457	0.0927392356558472	0.08213456338476222	0.0012932523697006257	TOI-2345	K	0.0388892663670318
