nombre_estrella,masa_estrella_m_solar,radio_estrella_r_solar,temperatura_estrella_k,distancia_estrella_pc,masa_rel_solar,radio_rel_solar,temperatura_rel_solar
GJ 3929,0.31,0.32,3384.0,15.81,0.31,0.32,0.59
HD 110067,0.8,0.79,5266.0,32.16,0.8,0.79,0.91
HD 224018,1.01,1.15,5784.0,105.48,1.01,1.15,1.0
K2-285,0.94,0.77,5144.5,154.96,0.94,0.77,0.89
K2-415,0.16,0.2,3173.0,21.82,0.16,0.2,0.55
LP 890-9,0.12,0.16,2850.0,32.43,0.12,0.16,0.49
TOI-1231,0.94,0.47,3535.0,27.62,0.94,0.47,0.61
TOI-1260,0.94,0.69,4225.0,73.6,0.94,0.69,0.73
TOI-1468,0.94,0.37,3382.0,24.74,0.94,0.37,0.59
TOI-178,0.65,0.65,4316.0,62.7,0.65,0.65,0.75
TOI-2088,0.9,0.85,5081.0,126.46,0.9,0.85,0.88
TOI-2093,0.74,0.73,4426.0,82.8,0.74,0.73,0.77
TOI-2136,0.34,0.34,3342.0,33.36,0.34,0.34,0.58
TOI-2322,0.94,0.7,4465.0,59.86,0.94,0.7,0.77
TOI-2345,0.94,0.76,4621.0,81.65,0.94,0.76,0.8
TOI-260,0.94,0.62,4111.0,20.19,0.94,0.62,0.71
TRAPPIST-1,0.94,0.11,5780.0,728.15,0.94,0.11,1.0
